Group;No.;Compounds;SMILES;RI
Test;m251;Bisoprolol;OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C;351.57
Train;m252;Bispyribac;c1(c(Oc2nc(cc(n2)OC)OC)cccc1Oc1nc(cc(n1)OC)OC)C(=O)O;576.84
Train;m253;Bitertanol;C(n1cncn1)(Oc1ccc(cc1)c1ccccc1)C(C(C)(C)C)O;760.87
Train;m254;bk-MDDMA;O1c2c(OC1)ccc(c2)C(=O)C(NC)C;188.92
Train;m255;Bornaprine;O(C(=O)C1(C2CC(C1)CC2)c1ccccc1)CCCN(CC)CC;552.4
Train;m256;Boscalid;Clc1ncccc1C(=O)Nc1c(c2ccc(Cl)cc2)cccc1;618.07
Train;m257;Brefedrone;C(=O)(C(C)NC)c1ccc(cc1)Br;285.9
Train;m258;Brodifacoum Peak 1;C1(c2c(c3c(oc2=O)cccc3)O)c2c(CC(C1)c1ccc(cc1)c1ccc(cc1)Br)cccc2;894.5
Train;m259;Bromacil;n1(c(=O)c(c([nH]c1=O)C)Br)C(CC)C;440.15
Test;m260;Bromadiolone;C(c1c(c2c(oc1=O)cccc2)O)(c1ccccc1)CC(c1ccc(cc1)c1ccc(cc1)Br)O;779.96
Train;m261;Bromazepam;C1(=NCC(=O)Nc2c1cc(cc2)Br)c1ccccn1;456.18
Train;m262;Bromhexine;c1(c(c(cc(c1)Br)Br)N)CN(C1CCCCC1)C;664.65
Train;m263;Bromodragonfly;Brc1c2c(occ2)c(C[C@H](N)C)c2c1occ2;466.11
Train;m264;Bromophos (Bromophos-methyl);Brc1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1;867.01
Test;m265;Bromophos-ethyl;Brc1c(Cl)cc(OP(=S)(OCC)OCC)c(Cl)c1;933.45
Test;m266;Bromopropylate;C(=O)(C(c1ccc(cc1)Br)(c1ccc(cc1)Br)O)OC(C)C;856.32
Train;m267;Bromperidol;Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Br;443.97
Train;m268;Brompheniramine;Brc1ccc(C(c2ncccc2)CCN(C)C)cc1;401.2
Test;m269;Bromuconazole 1;C1C(CC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl)Br;653.96
Train;m270;Bromural (Bromisoval);BrC(C(=O)NC(=O)N)C(C)C;371.42
Train;m271;Brotizolam;Brc1sc2n3c(nnc3C)CN=C(c2c1)c1c(Cl)cccc1;532.55
Train;m272;Brucine;COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCOC6CC(=O)N2C1[C@H]6[C@H]5C[C@@H]34;221.75
Train;m273;Bucetin;O(c1ccc(NC(=O)CC(O)C)cc1)CC;379.06
Train;m274;Budipine;N1(CCC(c2ccccc2)(c2ccccc2)CC1)C(C)(C)C;413.42
Train;m275;Bulbocapnine;O1c2c3c4[C@@H](N(CCc4cc2OC1)C)Cc1c3c(O)c(OC)cc1;233.21
Train;m276;Bumetanide;O=C(O)c1cc(NCCCC)c(Oc2ccccc2)c(S(=O)(=O)N)c1;498.18
Train;m277;Bunitrolol;N#Cc1ccccc1OCC(CNC(C)(C)C)O;256.11
Train;m278;Buphedrone;CNC(C(=O)c1ccccc1)CC;225.57
Train;m279;Bupirimate;S(=O)(=O)(Oc1nc(nc(c1CCCC)C)NCC)N(C)C;702.83
Train;m280;Bupivacaine;O=C(Nc1c(cccc1C)C)C1N(CCCC1)CCCC;372.19
Train;m281;Bupranolol;C(NCC(COc1c(ccc(c1)C)Cl)O)(C)(C)C;440.15
Train;m282;Buprenorphine;[C@@]123[C@@]45[C@H](N(CC3)CC3CC3)Cc3c2c(O[C@H]1[C@]([C@H](C4)[C@](C(C)(C)C)(C)O)(CC5)OC)c(cc3)O;508.11
Train;m283;Buprofezin  (Z-isomer. Buprofexin);S1/C(=N\C(C)(C)C)/N(C(=O)N(c2ccccc2)C1)C(C)C;835.7
Train;m284;Bupropion;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1;340.11
Train;m285;Buspirone;C12(CC(=O)N(C(=O)C1)CCCCN1CCN(CC1)c1ncccn1)CCCC2;341.64
Train;m286;Butachlor;c1(N(COCCCC)C(=O)CCl)c(cccc1CC)CC;843.34
Train;m287;Butafenacil;n1(c(=O)n(c(cc1=O)C(F)(F)F)C)c1cc(C(=O)OC(C(=O)OCC=C)(C)C)c(cc1)Cl;655.49
Train;m288;Butamifos;c1(c(ccc(c1)C)N(=O)=O)O[P@@](=S)(N[C@@H](CC)C)OCC;757.05
Train;m289;Butizide;c12c(cc(c(c2)Cl)S(=O)(=O)N)S(=O)(=O)NC(N1)CC(C)C;369.13
Test;m290;Butocarboxim;C(=N\OC(=O)NC)(/C(SC)C)\C;363.79
Train;m291;Butocarboxim-sulfoxid;C(=N\OC(=O)NC)(/C(S(=O)C)C)\C;156.08
Train;m292;Butoxycarboxim;CC(C(=NOC(=O)NC)C)S(=O)(=O)C;179.75
Test;m293;Butralin;N(c1c(cc(cc1N(O)O)C(C)(C)C)N(O)O)[C@@H](CC)C;892.21
Train;m294;Butter yellow;CN(c1ccc(cc1)/N=N/c1ccccc1)C;845.63
Test;m295;Buturon;Clc1ccc(NC(=O)N(C(C#C)C)C)cc1;537.89
Train;m296;Butylate;S(C(=O)N(CC(C)C)CC(C)C)CC;813.56
Test;m297;Butylone;C(=O)(C(CC)NC)c1ccc2c(c1)OCO2;231.68
Train;m298;Cadusafos;O=P(SC(C)CC)(SC(C)CC)OCC;777.67
Train;m299;Cafaminol;c12c(n(c(n1)N(CCO)C)C)c(=O)n(c(=O)n2C)C;277.5
Test;m300;Caffeine;O=c1n(C)c2c(n(C)cn2)c(=O)n1C;223.28
Train;m301;Calteridol;C1CN(CCN(CCN(CCN1CC(=O)O)CC(O)C)CC(=O)O)CC(=O)O;0.3
Test;m302;Camazepam;Clc1cc2c(N(C(=O)C(OC(=O)N(C)C)N=C2c2ccccc2)C)cc1;665.42
Train;m303;Cambendazol;s1cc(nc1)c1[nH]c2c(n1)ccc(NC(=O)OC(C)C)c2;485.2
Train;m304;Cannabidiol;Oc1c([C@H]2[C@@H](CC=C(C2)C)C(=C)C)c(O)cc(c1)CCCCC;870.07
Train;m305;Cannabinol;O1C(c2c(c3c1cc(cc3O)CCCCC)cc(cc2)C)(C)C;942.61
Train;m306;Canrenone;[C@@]12([C@@]3([C@@H](CC1)[C@H]1[C@H](CC3)[C@@]3(C(=CC(=O)CC3)C=C1)C)C)OC(=O)CC2;646.32
Train;m307;Capsaicin;c1(cc(c(cc1)O)OC)CNC(=O)CCCC/C=C/C(C)C;650.91
Train;m308;Captafol;C12C(C(=O)N(C1=O)SC(C(Cl)Cl)(Cl)Cl)CC=CC2;662.36
Train;m309;Captan;N1(C(=O)C2C(C1=O)CC=CC2)SC(Cl)(Cl)Cl;569.96
Train;m310;Captopril;N1([C@@H](CCC1)C(=O)O)C(=O)[C@@H](CS)C;250.77
Train;m311;Carazolol;c12c3c([nH]c1cccc2OCC(CNC(C)C)O)cccc3;319.5
Train;m312;Carbachol;[N+](CCOC(=O)N)(C)(C)C;-5.04
Train;m313;Carbamazepine;N1(c2c(cccc2)C=Cc2c1cccc2)C(=O)N;462.29
Train;m314;Carbamazepine-10.11-epoxid;C12C(O2)c2c(N(c3c1cccc3)C(=O)N)cccc2;361.49
Test;m315;Carbaryl;CNC(=O)OC1=CC=CC2=CC=CC=C21;469.93
Train;m316;Carbendazim;c12c(nc([nH]1)NC(=O)OC)cccc2;317.2
Train;m317;Carbetamide;c1(NC(=O)OC(C(=O)NCC)C)ccccc1;402.73
Test;m318;Carbinoxamine;C(c1ccc(cc1)Cl)(c1ccccn1)OCCN(C)C;364.55
Train;m319;Carbofuran;c12c(CC(O2)(C)C)cccc1OC(=O)NC;435.57
Train;m320;Carbofuran-3-hydroxy;c12c(C(C(O2)(C)C)O)cccc1OC(=O)NC;288.95
Train;m321;Carbophenothion;P(=S)(SCSc1ccc(cc1)Cl)(OCC)OCC;885.34
Train;m322;Carbosulfan;c12c(CC(O2)(C)C)cccc1OC(=O)N(SN(CCCC)CCCC)C;950.25
Test;m323;Carboxin;C1(=C(OCCS1)C)C(=O)Nc1ccccc1;469.93
Train;m324;Carboxyibuprofen;C(=O)(C(c1ccc(CC(C(=O)O)C)cc1)C)O;434.04
Train;m325;Carbutamide;c1(S(=O)(=O)NC(=O)NCCCC)ccc(cc1)N;309.57
Train;m326;Carbuterol;c1(cc(c(cc1)O)NC(=O)N)C(CNC(C)(C)C)O;120.95
Train;m327;Carfentrazone-ethyl;n1(c2cc(c(cc2F)Cl)CC(C(=O)OCC)Cl)c(=O)n(c(n1)C)C(F)F;716.58
Train;m328;Carisoprodol;C(COC(=O)NC(C)C)(COC(=O)N)(CCC)C;510.4
Test;m329;Carteolol;c12c(cccc1OCC(CNC(C)(C)C)O)NC(=O)CC2;198.84
Train;m330;Carticaine (Articaine);c1(c(scc1C)C(=O)OC)NC(=O)C(NCCC)C;258.41
Train;m331;Carvedilol;c12c3c([nH]c1cccc2OCC(CNCCOc1c(cccc1)OC)O)cccc3;427.93
Train;m332;Cathine;O[C@@H](c1ccccc1)[C@@H](N)C;181.28
Train;m333;Cathinone;O=C(c1ccccc1)[C@@H](N)C;174.41
Train;m334;Cefaclor;ClC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O)C(=O)O;212.59
Train;m335;Cefadroxil;S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](N)c2ccc(O)cc2)C(=C(C1)C)C(=O)O;117.14
Test;m336;Cefalexin;S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](N)c2ccccc2)C(=C(C1)C)C(=O)O;211.82
Train;m337;Cefalonium;S1[C@H]2N(C(=O)[C@H]2NC(=O)Cc2sccc2)C(=C(C1)C[n+]1ccc(cc1)C(=O)N)C(=O)O;208.01
Train;m338;Cefazolin;S1[C@H]2N(C(=O)[C@H]2NC(=O)Cn2nnnc2)C(=C(C1)CSc1sc(nn1)C)C(=O)O;217.93
Train;m339;Cefoperazone;S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@@H](NC(=O)N2CCN(C(=O)C2=O)CC)c2ccc(O)cc2)C(=C(C1)CSc1n(nnn1)C)C(=O)O;233.21
Train;m340;Cefquinome;S1[C@H]2N(C(=O)[C@H]2NC(=O)/C(=N\OC)/c2nc(sc2)N)C(=C(C1)C[n+]1c2c(ccc1)CCCC2)C(=O)O;187.39
Train;m341;ceftiofur;CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSC(=O)c1ccco1;315.68
Train;m342;Celiprolol;O(c1c(cc(NC(=O)N(CC)CC)cc1)C(=O)C)CC(O)CNC(C)(C)C;300.4
Train;m343;Cerivastatin;C(=O)(O)C[C@@H](C[C@@H](/C=C/c1c(c(c(nc1C(C)C)C(C)C)COC)c1ccc(cc1)F)O)O;786.07
Train;m344;Cetirizine;Clc1ccc(C(N2CCN(CC2)CCOCC(=O)O)c2ccccc2)cc1;571.49
Train;m345;Cetirizine (Methyl ester);Clc1ccc(C(N2CCN(CC2)CCOCC(=O)OC)c2ccccc2)cc1;576.84
Train;m346;Chlorantraniliprole;Brc1nn(c(C(=O)Nc2c(cc(Cl)cc2C)C(=O)NC)c1)c1ncccc1Cl;564.62
Train;m347;Chlorazanil;Clc1ccc(Nc2nc(ncn2)N)cc1;469.93
Train;m348;Chlorbenzoxamine;Clc1c(C(OCCN2CCN(Cc3c(cccc3)C)CC2)c2ccccc2)cccc1;727.27
Train;m349;Chlorbromuron;Brc1c(Cl)cc(NC(=O)N(OC)C)cc1;629.53
Train;m350;Chlorbufam;Clc1cc(NC(=O)OC(C#C)C)ccc1;608.14
Train;m351;Chlorcyclizine;Clc1ccc(C(N2CCN(CC2)C)c2ccccc2)cc1;532.55
Train;m352;Chlordiazepoxide;Clc1cc2C(N(CC(=Nc2cc1)NC)O)c1ccccc1;563.09
Train;m353;Chlordimeform;N(=CN(C)C)c1c(cc(cc1)Cl)C;254.59
Train;m354;Chlorfenapyr;CCOCn1c(c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F;802.87
Test;m355;Chlorfenprop-methyl;ClC(Cc1ccc(Cl)cc1)C(=O)OC;680.69
Train;m356;Chlorfenson.Ovex.chlorfénizon.ephirsulfonate.ovatron;Clc1ccc(S(=O)(=O)Oc2ccc(Cl)cc2)cc1;747.89
Train;m357;Chlorfenvinphos (E/Z) Peak 1 (Main);P(=O)(OCC)(OCC)O/C(=C/Cl)/c1c(cc(cc1)Cl)Cl;737.96
Train;m358;Chlorfluazuron;O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1;909.77
Train;m359;Chloridazone;Nc1cnn(c(=O)c1Cl)c1ccccc1;308.04
Train;m360;Chlorimuronethyl;Clc1nc(NC(=O)NS(=O)(=O)c2c(C(=O)OCC)cccc2)nc(OC)c1;610.43
Train;m361;Chlormequat;[N+](CCCl)(C)(C)C;27.79
Train;m362;Chlormezanone;CN1C(=O)CCS(=O)(=O)C1c1ccc(cc1)Cl;353.86
Train;m363;Chlorobenzilate;Clc1ccc(C(O)(c2ccc(Cl)cc2)C(=O)OCC)cc1;793.7
Test;m364;Chloro-benzotriazole;Cln1nnc2c1cccc2;398.91
Train;m365;Chlorophacinone;Clc1ccc(C(C(=O)C2C(=O)c3c(C2=O)cccc3)c2ccccc2)cc1;644.03
Train;m366;Chloropropylate;Clc1ccc(C(O)(c2ccc(Cl)cc2)C(=O)OC(C)C)cc1;828.07
Test;m367;Chloropyramine;CN(CCN(c1ccccn1)Cc1ccc(cc1)Cl)C;441.67
Train;m368;Chloroquine;c1cc(c2c(n1)cc(cc2)Cl)NC(C)CCCN(CC)CC;217.93
Test;m369;Chlorothiamid;NC(=S)c1c(Cl)cccc1Cl;334.77
Train;m370;Chlorotoluron;O=C(N(C)C)Nc1ccc(c(c1)Cl)C;509.64
Train;m371;Chloroxuron (Chloroxifenidim);Clc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1;663.12
Train;m372;Chlorphenethazine;Clc1cc2N(CCN(C)C)c3c(Sc2cc1)cccc3;548.58
Train;m373;Chlorpheniramine;Clc1ccc(C(CCN(C)C)c2ncccc2)cc1;377.53
Test;m374;Chlorpromazine;CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C;579.13
Train;m375;Chlorpropamide;Clc1ccc(S(=O)(=O)NC(=O)NCCC)cc1;449.31
Train;m376;Chlorpropham;Clc1cc(NC(=O)OC(C)C)ccc1;647.09
Train;m377;Chlorprotixene;Clc1cc2/C(=C\CCN(C)C)/c3c(Sc2cc1)cccc3;586.76
Train;m378;Chlorpyriphos;c1(nc(c(cc1Cl)Cl)Cl)OP(=S)(OCC)OCC;870.83
Train;m379;Chlorpyriphos-methyl;Clc1c(OP(=S)(OC)OC)nc(Cl)c(Cl)c1;793.7
Train;m380;Chlorsulfuron;Clc1c(S(=O)(=O)NC(=O)Nc2nc(OC)nc(n2)C)cccc1;399.68
Train;m381;Chlortalidone;O=C1NC(c2c1cccc2)(O)c1ccc(c(c1)S(=O)(=O)N)Cl;286.66
Train;m382;Chlorthal-dimethyl (DCPA. Dacthal) ;Clc1c(c(Cl)c(Cl)c(c1Cl)C(=O)OC)C(=O)OC;782.25
Train;m383;Chlorthion;c1(OP(=S)(OC)OC)cc(c(cc1)N(O)O)Cl;677.63
Train;m384;Chromafenozide;O1c2c(c(c(C(=O)NN(C(=O)c3cc(cc(c3)C)C)C(C)(C)C)cc2)C)CCC1;658.54
Train;m385;Cilazapril;N12N(CCC[C@H]1C(=O)O)CCC[C@@H](C2=O)N[C@@H](CCc1ccccc1)C(=O)OCC;506.58
Train;m386;Cimaterol;OC(c1cc(c(N)cc1)C#N)CNC(C)C;128.59
Test;m387;Cimetidine;S(Cc1nc[nH]c1C)CCN/C(=N/C)/NC#N;147.68
Train;m388;Cinchocaine;O(c1nc2c(c(c1)C(=O)NCCN(CC)CC)cccc2)CCCC;542.47
Train;m389;Cinidon-ethyl;C(=O)(/C(=C/c1cc(ccc1Cl)N1C(=O)C2=C(C1=O)CCCC2)/Cl)OCC;848.68
Train;m390;Cinnarizine;N1(CCN(CC1)C/C=C\c1ccccc1)C(c1ccccc1)c1ccccc1;653.2
Train;m391;Cinosulfuron;S(=O)(=O)(NC(=O)Nc1nc(OC)nc(OC)n1)c1c(OCCOC)cccc1;385.93
Train;m392;Cinoxacin;O1c2cc3n(nc(c(=O)c3cc2OC1)C(=O)O)CC;306.51
Train;m393;Ciprofloxacin;OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O;237.79
Train;m394;Cisapride;c1(c(cc(c(c1)Cl)N)OC)C(=O)N[C@@H]1[C@@H](CN(CC1)CCCOc1ccc(cc1)F)OC;414.18
Train;m395;Citalopram;C1(c2c(CO1)cc(cc2)C#N)(c1ccc(cc1)F)CCCN(C)C;403.49
Train;m396;Clarithromycin;O([C@H]1[C@](OC)(C[C@H](C(=O)[C@@H]([C@@H](O)[C@](O)([C@H](OC(=O)[C@@H]([C@@H](O[C@@H]2O[C@H]([C@H](O)[C@](OC)(C2)C)C)[C@@H]1C)C)CC)C)C)C)C)[C@@H]1O[C@@H](C[C@H](N(C)C)[C@H]1O)C;601.27
Train;m397;Clemastine;Clc1ccc([C@](OCC[C@@H]2N(CCC2)C)(c2ccccc2)C)cc1;611.2
Train;m398;Clenbuterol;c1c(c(c(cc1C(O)CNC(C)(C)C)Cl)N)Cl;263.75
Train;m399;Clethodim Peak 1;C1(=C(CC(CC1=O)CC(SCC)C)O)C(=NOC/C=C/Cl)CC;623.42
Train;m400;Clibucaine;Clc1c(NC(=O)CC(N2CCCCC2)C)ccc(Cl)c1;379.06
Train;m401;Clidinium;C(=O)(C(c1ccccc1)(c1ccccc1)O)OC1C[N+]2(CCC1CC2)C;346.22
Train;m402;Climbazole;CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1;673.05
Train;m403;Clobazam;Clc1cc2N(C(=O)CC(=O)N(c2cc1)C)c1ccccc1;517.27
Test;m404;Clobenzepam;Clc1cc2[nH]c3c(c(=O)n(CCN(C)C)c2cc1)cccc3;382.88
Test;m405;Clobetasone butyrate;ClCC(=O)[C@]1(OC(=O)CCC)[C@@]2([C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(=O)C=C4)CC3)C)C(=O)C2)C[C@@H]1C)C;765.45
Train;m406;Clobutinol;Clc1ccc(CC(O)(C(CN(C)C)C)C)cc1;382.11
Train;m407;Clodinafop-propargyl;c1(ncc(cc1F)Cl)Oc1ccc(O[C@@H](C(=O)OCC#C)C)cc1;715.05
Train;m408;Clofentezine;Clc1ccccc1c1nnc(nn1)c1ccccc1Cl;779.19
Train;m409;Clomazone  (Command);O=C1N(OCC1(C)C)Cc1ccccc1Cl;579.13
Test;m410;Clomethiazole;ClCCc1scnc1C;411.13
Train;m411;Clomipramine;Clc1cc2N(c3c(CCc2cc1)cccc3)CCCN(C)C;603.56
Train;m412;Clonazepam;Clc1c(C2=NCC(=O)Nc3c2cc(cc3)N(O)O)cccc1;481.38
Train;m413;Clonidine;Clc1c(NC2=NCCN2)c(Cl)ccc1;192.73
Train;m414;Clopamide;C(=O)(c1cc(c(cc1)Cl)S(=O)(=O)N)NN1[C@@H](CCC[C@@H]1C)C;359.2
Test;m415;Clopenthixol Peak 1;c12ccccc1Sc1c(C2=CCCN2CCN(CC2)CCO)cc(cc1)Cl;661.6
Train;m416;Clopidogrel;N1([C@@H](c2c(cccc2)Cl)C(=O)OC)Cc2c(CC1)scc2;799.81
Train;m417;Clopidol;Clc1c(O)c(Cl)c(nc1C)C;220.99
Test;m418;Clopyralid;OC(=O)c1nc(Cl)ccc1Cl;133.94
Train;m419;Clothiapine;Clc1cc2C(=Nc3c(Sc2cc1)cccc3)N1CCN(CC1)C;584.47
Train;m420;Clotiazepam;Clc1c(C2=NCC(=O)N(c3sc(cc23)CC)C)cccc1;676.87
Train;m421;Clozapine;C1(=Nc2c(Nc3c1cccc3)ccc(c2)Cl)N1CCN(CC1)C;449.31
Train;m422;Cocaethylene;[C@H]1([C@@H]([C@@H]2N([C@H](C1)CC2)C)C(=O)OCC)OC(=O)c1ccccc1;317.2
Train;m423;Cocaine;O([C@@H]1[C@@H]([C@@H]2N([C@@H](CC2)C1)C)C(=O)OC)C(=O)c1ccccc1;269.86
Train;m424;Codeine;O1[C@@H]2[C@@]34[C@H]([C@H](N(CC4)C)Cc4c3c1c(OC)cc4)C=C[C@@H]2O;159.9
Train;m425;Colchicine;O(c1c2c3c([C@@H](NC(=O)C)CCc2cc(OC)c1OC)cc(=O)c(OC)cc3)C;391.28
Train;m426;Corticosterone;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO;567.67
Train;m427;Cortisol F (4-Pregnene-11b,17a,21-triol-3,20-dione );[C@]12([C@@](C(=O)CO)(CC[C@H]1[C@H]1[C@@H]([C@@]3(C(=CC(=O)CC3)CC1)C)[C@H](C2)O)O)C;500.47
Train;m428;Cortisone E  (4-Pregnene-17,21-diol-3,11,20-trione );[C@H]12[C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)C(=O)C[C@@]1([C@](CC2)(C(=O)CO)O)C;466.11
Test;m429;Cotinine;CN1[C@@H](CCC1=O)c1cnccc1;186.63
Test;m430;Coumachlor;O=c1c(C(c2ccc(Cl)cc2)CC(=O)C)c(O)c2ccccc2o1;679.16
Train;m431;Coumaphos;Clc1c(c2c(oc1=O)cc(OP(=S)(OCC)OCC)cc2)C;754.76
Train;m432;CP 47-497;C(C)(CCCCCC)(c1ccc([C@H]2CCC[C@H](C2)O)c(c1)O)C;899.08
Train;m433;CP 47-497-C8;C1CC[C@@H](C[C@@H]1O)c1ccc(cc1O)C(CCCCCCC)(C)C;931.92
Train;m434;CP 55-940;[C@@H]1(c2c(cc(cc2)C(CCCCCC)(C)C)O)[C@H](CC[C@@H](C1)O)CCCO;815.08
Train;m435;Crimidine;Clc1nc(N(C)C)cc(n1)C;373.71
Train;m436;Croconazole;Clc1cc(COc2c(C(=C)n3cncc3)cccc2)ccc1;720.4
Train;m437;Crotoxyphos;P(=O)(O/C(=C/C(=O)OC(c1ccccc1)C)/C)(OC)OC;617.31
Train;m438;Crufomate;Clc1c(OP(=O)(OC)NC)ccc(C(C)(C)C)c1;702.83
Train;m439;Cyamemazine;c12N(c3c(Sc1ccc(c2)C#N)cccc3)CC(CN(C)C)C;474.51
Train;m440;Cyanazine;Clc1nc(nc(n1)NCC)NC(C#N)(C)C;400.44
Train;m441;Cyanofenphos;S=P(Oc1ccc(cc1)C#N)(OCC)c1ccccc1;731.09
Train;m442;Cyanophos;S=P(Oc1ccc(cc1)C#N)(OC)OC;531.78
Train;m443;Cyazofamid;Clc1nc(n(S(=O)(=O)N(C)C)c1c1ccc(cc1)C)C#N;688.32
Train;m444;Cyclamic acid;OS(=O)(=O)NC1CCCCC1;434.04
Train;m445;Cyclizine;CN1CCN(CC1)C(c1ccccc1)c1ccccc1;430.22
Train;m446;Cycloate;S(C(=O)N(C1CCCCC1)CC)CC;789.89
Train;m447;Cyclobenzaprine;N(CC/C=C\1/c2c(C=Cc3c1cccc3)cccc2)(C)C;507.35
Train;m448;Cycloheximide Peak 1;[C@H]1([C@@H](CC2CC(=O)NC(=O)C2)O)C(=O)[C@H](C[C@@H](C1)C)C;357.68
Test;m449;Cyclopentolate;OC1(C(c2ccccc2)C(=O)OCCN(C)C)CCCC1;370.66
Test;m450;Cyclovalone;C\1(=C\c2cc(c(cc2)O)OC)/C(=O)/C(=C/c2cc(c(cc2)O)OC)/CCC1;632.58
Train;m451;Cycloxydim I;C(CC)C(=NOCC)C1=C(CC(C2CSCCC2)CC1=O)O;562.33
Train;m452;Cycluron;O=C(NC1CCCCCCC1)N(C)C;547.05
Test;m453;Cyfluthrin (Baythroid);C1(C(C1(C)C)C=C(Cl)Cl)C(=O)OC(c1cc(Oc2ccccc2)c(cc1)F)C#N;893.74
Train;m454;Cyhalothrin (lambda-);C1([C@@H]([C@H]1C(=O)OC(C#N)c1cc(Oc2ccccc2)ccc1)/C=C(\C(F)(F)F)/Cl)(C)C;892.21
Train;m455;Cymoxanil;C(=N\OC)(/C(=O)NC(=O)NCC)\C#N;327.9
Train;m456;Cypermethrin III;C1([C@@H]([C@H]1C(=O)O[C@@H](C#N)c1cc(Oc2ccccc2)ccc1)C=C(Cl)Cl)(C)C;916.65
Train;m457;Cyprazin;Clc1nc(NC2CC2)nc(NC(C)C)n1;527.96
Train;m458;Cyproconazole Peak 2;C(C(C(C)C1CC1)(O)c1ccc(cc1)Cl)n1ncnc1;664.65
Train;m459;Cyprodinil;c1(C2CC2)nc(Nc2ccccc2)nc(c1)C;743.3
Test;m460;Cyproheptadine;CN1CCC(=C2c3ccccc3C=Cc3c2cccc3)CC1;502.76
Train;m461;Cyromazine;Nc1nc(N)nc(NC2CC2)n1;112.55
Test;m462;Cythioate;S(=O)(=O)(N)c1ccc(OP(=S)(OC)OC)cc1;372.95
Train;m463;Daimuron (Dymron);O=C(NC(c1ccccc1)(C)C)Nc1ccc(cc1)C;639.45
Train;m464;danofloxacin;Fc1c(N2[C@H]3C[C@H](N(C3)C)C2)cc2n(C3CC3)cc(c(=O)c2c1)C(=O)O;246.95
Test;m465;Dapiprazole;n12c(nnc1CCCC2)CCN1CCN(CC1)c1c(cccc1)C;332.48
Train;m466;Dapsone;O=S(=O)(c1ccc(N)cc1)c1ccc(N)cc1;215.64
Train;m467;Dazomet;CN1CN(C)CSC1=S;203.43
Test;m468;Deacetyldiltiazem;S1[C@H]([C@@H](O)C(=O)N(CCN(C)C)c2c1cccc2)c1ccc(OC)cc1;389.75
Train;m469;Debrisoquine;N=C(N1Cc2c(cccc2)CC1)N;235.5
Train;m470;Decoquinate;O(c1c(OCC)cc2ncc(c(O)c2c1)C(=O)OCC)CCCCCCCCCC;925.81
Train;m471;Deflazacort;[C@@]12([C@@]3([C@@H](C[C@H]1OC(=N2)C)[C@H]1[C@H]([C@H](C3)O)[C@@]2(C(=CC(=O)C=C2)CC1)C)C)C(=O)COC(=O)C;614.25
Train;m472;Demeton-S;P(=O)(SCCSCC)(OCC)OCC;580.65
Train;m473;Demeton-S-methylsulfone;S(=O)(=O)(CCSP(=O)(OC)OC)CC;217.17
Train;m474;Demeton-S-methylsulfoxid (Oxydemeton-methyl);P(=O)(SCCS(=O)CC)(OC)OC;204.19
Train;m475;Demoxepam;C1(=N(=O)CC(=O)Nc2c1cc(cc2)Cl)c1ccccc1;445.49
Train;m476;Denaverine;O(C(c1ccccc1)(c1ccccc1)C(=O)OCCN(C)C)CC(CC)CC;789.12
Train;m477;Desalkylflurazepam;c12C(=NCC(=O)Nc1ccc(c2)Cl)c1c(cccc1)F;567.67
Train;m478;Desethylhydroxychloroquine;c12c(nccc1NC(CCCNCCO)C)cc(cc2)Cl;196.55
Test;m479;Desipramine;N1(c2c(CCc3c1cccc3)cccc2)CCCNC;517.27
Train;m480;Desloratadine;Clc1cc2c(C(=C3CCNCC3)c3ncccc3CC2)cc1;471.46
Test;m481;Desmedipham;O(c1cc(NC(=O)OCC)ccc1)C(=O)Nc1ccccc1;554.69
Train;m482;Desmethyl-Chlordiazepoxide;C1(=N(=O)CC(=Nc2c1cc(cc2)Cl)N)c1ccccc1;531.78
Train;m483;Desmethyl-Mirtazapine;N12c3c(Cc4c(C1CNCC2)cccc4)cccn3;305.75
Train;m484;Desmetryn;c1(nc(NC)nc(n1)SC)NC(C)C;524.15
